source_row,invoice_no,invoice_date,vendor_name,vendor_gstin,category,state,description,quantity,unit_rate,taxable_amount,gst_rate,gst_amount,currency,payment_status,payment_date,vendor_name_original,vendor_name_normalized,vendor_key,is_credit_note,is_duplicate_invoice,is_superseded_duplicate,in_scope_fy_2024_25,line_total,line_total_inr,missing_taxable_amount,missing_gst_amount,missing_gstin,future_invoice_date,payment_before_invoice,expected_gst,gst_difference,gst_reconciliation_exception,vendor_name_variant_count,vendor_name_variation
12,INV-2024-0074,2025-03-10,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Epoxy primer 200L,7.0,2578.61,41258.0,18.0,7426.0,INR,Paid,2025-05-10,Sundaram Engineering,SUNDARAM ENGINEERING,33AADCS9012M1Z8,False,False,False,True,48684.0,48684.0,False,False,False,False,False,7426.44,0.4399999999995998,False,3,True
13,INV-2024-0008,2024-05-30,Eastern Logistics,,Transport,West Bengal,MS plate 12mm supply,24.0,8304.04,49824.0,5.0,2491.21,INR,Paid,2024-07-30,Eastern Logistics,EASTERN LOGISTICS,NAME:EASTERN LOGISTICS,False,False,False,True,52315.21,52315.21,False,False,True,False,False,2491.2,0.010000000000218279,False,1,False
14,INV-2024-0028,2024-08-10,Sen Brothers Welding,19AAJCS0123T1Z3,Fabrication,West Bengal,Structural design review,20.0,2870.96,43064.4,18.0,7752.0,INR,Paid,2024-10-10,Sen Brothers Welding,SEN BROTHERS WELDING,19AAJCS0123T1Z3,False,False,False,True,50816.4,50816.4,False,False,False,False,False,7751.592000000001,0.407999999999447,False,2,True
15,INV-2024-0058,2025-01-15,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Welding consumables,22.0,22191.4,687933.31,12.0,82552.0,INR,Paid,2025-02-09,Sundaram Engineering,SUNDARAM ENGINEERING,33AADCS9012M1Z8,False,False,False,True,770485.31,770485.31,False,False,False,False,False,82551.99720000001,0.0027999999874737114,False,3,True
16,INV-2024-0118,2024-11-18,Meridian Consultants LLP,29AALCM8901V1Z0,Services,Karnataka,Site safety harness x20,17.0,56562.32,791872.54,18.0,142537.0,INR,Paid,2025-01-01,Meridian Consultants LLP,MERIDIAN CONSULTANTS LLP,29AALCM8901V1Z0,False,False,False,True,934409.54,934409.54,False,False,False,False,False,142537.0572,0.05720000001019798,False,2,True
17,INV-2024-0009,2025-01-20,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Epoxy primer 200L,19.0,27133.85,895417.09,18.0,161175.0,INR,Unpaid,,Eastern Logistics Co,EASTERN LOGISTICS CO,19AAECE3456N1Z1,False,False,False,True,1056592.0899999999,1056592.0899999999,False,False,False,False,False,161175.07619999998,0.07619999998132698,False,3,True
18,INV-2024-0902,2025-01-08,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Imported CNC spindle bearing,2.0,3100.0,6200.0,18.0,1116.0,USD,Unpaid,,Precision Tools India,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,7316.0,610886.0,False,False,False,False,False,1116.0,0.0,False,3,True
19,INV-2024-0017,2024-05-25,Gupta Hardware,10AAFCG7890P1Z4,Consumables,Bihar,Cutting tools replenishment,11.0,101219.43,708536.0,18.0,127536.0,INR,Paid,2024-06-22,Gupta Hardware,GUPTA HARDWARE,10AAFCG7890P1Z4,False,False,False,True,836072.0,836072.0,False,False,False,False,False,127536.48,0.47999999999592546,False,3,True
20,INV-2024-0104,2024-07-26,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,MS plate 12mm supply,28.0,1255.73,42694.74,5.0,2134.74,INR,Paid,2024-08-23,Precision Tools India,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,44829.479999999996,44829.479999999996,False,False,False,False,False,2134.7369999999996,0.003000000000156433,False,3,True
21,INV-2024-0085,2024-09-20,Konark Fabrication,21AACCK5678L1Z2,Fabrication,Odisha,Cutting tools replenishment,16.0,24040.51,312527.0,12.0,37503.0,INR,Paid,2024-10-25,Konark Fabrication,KONARK FABRICATION,21AACCK5678L1Z2,False,False,False,True,350030.0,350030.0,False,False,False,False,False,37503.24,0.23999999999796273,False,4,True
22,INV-2024-0901,2024-09-19,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Imported carbide inserts,6.0,1450.0,8700.0,18.0,1566.0,USD,Paid,2024-10-24,Precision Tools India,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,10266.0,857211.0,False,False,False,False,False,1566.0,0.0,False,3,True
23,INV-2024-0100,2024-09-05,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Epoxy primer 200L,21.0,86902.8,347611.0,12.0,41713.34,INR,Paid,2024-10-03,Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,389324.33999999997,389324.33999999997,False,False,False,False,False,41713.32,0.01999999999679858,False,5,True
24,INV-2024-0015,2024-08-28,EASTERN LOGISTICS,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,25.0,4410.79,110269.78,18.0,19849.0,INR,Paid,2024-10-02,EASTERN LOGISTICS,EASTERN LOGISTICS,19AAECE3456N1Z1,False,False,False,True,130118.78,130118.78,False,False,False,False,False,19848.560400000002,0.43959999999788124,False,3,True
25,INV-2024-0114,2024-11-15,EASTERN LOGISTICS,19AAECE3456N1Z1,Transport,West Bengal,MS plate 12mm supply,36.0,52883.54,740369.58,18.0,133267.0,INR,Paid,2024-12-16,EASTERN LOGISTICS,EASTERN LOGISTICS,19AAECE3456N1Z1,False,False,False,True,873636.58,873636.58,False,False,False,False,False,133266.5244,0.4756000000052154,False,3,True
26,INV-2024-0117,2024-12-13,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Girder fabrication - lot 3,31.0,598.15,13757.0,18.0,2476.0,INR,Paid,2025-01-13,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,16233.0,16233.0,False,False,False,False,False,2476.26,0.2600000000002183,False,3,True
27,INV-2024-0050,2025-02-13,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Welding consumables,21.0,8166.74,228669.0,12.0,27440.0,INR,Paid,2025-03-29,GUPTA HARDWARE STORES,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,False,False,False,True,256109.0,256109.0,False,False,False,False,False,27440.28,0.27999999999883585,False,3,True
28,INV-2024-0059,2025-03-11,BHARAT STEEL WORKS,19AABCB1234K1Z5,Raw Material,West Bengal,Freight - Durgapur to Asansol,37.0,42376.34,635645.1,28.0,177980.63,INR,Paid,2025-05-02,BHARAT STEEL WORKS,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,813625.73,813625.73,False,False,False,False,False,177980.628,0.0020000000076834112,False,5,True
29,INV-2024-0038,2025-03-07,Bharat Steel Works Pvt Ltd,19AABCB1234K1Z5,Raw Material,West Bengal,Shot blasting service,4.0,2759.19,46906.3,28.0,13133.76,INR,Paid,2025-04-28,Bharat Steel Works Pvt Ltd,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,60040.060000000005,60040.060000000005,False,False,False,False,False,13133.764000000001,0.004000000000814907,False,5,True
30,INV-2024-0024,2024-11-21,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Structural design review,29.0,634.79,13330.65,18.0,2400.0,INR,Paid,2025-01-12,Precision Tools India,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,15730.65,15730.65,False,False,False,False,False,2399.517,0.4830000000001746,False,3,True
31,INV-2024-0016,2025-01-12,Bharat Steel  Works,19AABCB1234K1Z5,Raw Material,West Bengal,Angle sections supply,23.0,1576.07,33098.0,5.0,1655.0,INR,Paid,2025-01-24,Bharat Steel  Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,34753.0,34753.0,False,False,False,False,False,1654.9,0.09999999999990905,False,5,True
32,INV-2024-0010,2025-03-05,SEN BROTHERS WELDING,19AAJCS0123T1Z3,Fabrication,West Bengal,Epoxy primer 200L,10.0,2746.91,85154.32,18.0,15328.0,INR,Paid,2025-04-09,SEN BROTHERS WELDING,SEN BROTHERS WELDING,19AAJCS0123T1Z3,False,False,False,True,100482.32,100482.32,False,False,False,False,False,15327.777600000003,0.22239999999692373,False,2,True
33,INV-2024-0052,2025-02-27,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Welding consumables,37.0,2931.77,43977.0,12.0,5277.19,INR,Paid,2025-03-30,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,49254.19,49254.19,False,False,False,False,False,5277.24,0.0500000000001819,False,3,True
34,INV-2024-0108,2024-07-17,Gupta Hardware Stores,10AAFCG7890P1Z4,Consumables,Bihar,Welding consumables,32.0,21389.1,385003.78,28.0,107801.06,INR,Paid,2024-08-14,Gupta Hardware Stores,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,False,False,False,True,492804.84,492804.84,False,False,False,False,False,107801.0584,0.001600000003236346,False,3,True
35,INV-2024-0105,2025-01-09, Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Welding consumables,4.0,8697.72,78279.0,28.0,21918.25,INR,Paid,2025-01-27, Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,100197.25,100197.25,False,False,False,False,False,21918.12,0.13000000000101863,False,5,True
36,INV-2024-0005,2024-06-18,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Shot blasting service,20.0,3168.19,107718.31,18.0,19389.3,INR,Unpaid,,Apex Safety Equipment,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,127107.61,127107.61,False,False,False,False,False,19389.2958,0.004199999999400461,False,3,True
37,INV-2024-0057,2024-08-03,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Shot blasting service,22.0,31061.34,496981.37,18.0,89456.65,INR,Paid,2024-08-28,Eastern Logistics Co,EASTERN LOGISTICS CO,19AAECE3456N1Z1,False,False,False,True,586438.02,586438.02,False,False,False,False,False,89456.64660000001,0.0033999999868683517,False,3,True
38,INV-2024-0077,2024-08-02,Gupta Hardware Stores,10AAFCG7890P1Z4,Consumables,Bihar,Site safety harness x20,32.0,1632.99,58788.0,18.0,10582.0,INR,Paid,2024-08-20,Gupta Hardware Stores,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,False,False,False,True,69370.0,69370.0,False,False,False,False,False,10581.84,0.15999999999985448,False,3,True
39,INV-2024-0110,2025-03-23,Konark Fabrication Pvt. Ltd.,21AACCK5678L1Z2,Fabrication,Odisha,Shot blasting service,3.0,91272.93,1004002.0,12.0,120480.0,INR,Paid,2025-05-23,Konark Fabrication Pvt. Ltd.,KONARK FABRICATION,21AACCK5678L1Z2,False,False,False,True,1124482.0,1124482.0,False,False,False,False,False,120480.24,0.2400000000052387,False,4,True
40,INV-2024-0025,2024-06-27,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Welding consumables,17.0,176046.14,880230.71,18.0,158441.53,INR,Paid,2024-08-01,Konark Fab,KONARK FAB,21AACCK5678L1Z2,False,False,False,True,1038672.24,1038672.24,False,False,False,False,False,158441.52779999998,0.0022000000171829015,False,4,True
41,INV-2024-0097,2025-02-28,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,30.0,896.11,12545.5,18.0,2258.19,INR,Paid,2025-04-09,Eastern Logistics Co,EASTERN LOGISTICS CO,19AAECE3456N1Z1,False,False,False,True,14803.69,14803.69,False,False,False,False,False,2258.19,0.0,False,3,True
42,INV-2024-0076,2025-02-06,Nova Paints and Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,MS plate 12mm supply,39.0,1286.77,42463.0,12.0,5095.61,INR,Paid,2025-03-13,Nova Paints and Coatings,NOVA PAINTS AND COATINGS,24AAHCN6789R1Z6,False,False,False,True,47558.61,47558.61,False,False,False,False,False,5095.56,0.049999999999272404,False,3,True
43,INV-2024-0022,2024-04-04,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Welding consumables,18.0,2705.67,59525.0,5.0,2976.24,INR,Paid,2024-05-09,Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,62501.24,62501.24,False,False,False,False,False,2976.25,0.010000000000218279,False,5,True
44,INV-2024-0034,2024-07-08,Sen Brothers,,Fabrication,West Bengal,Cutting tools replenishment,28.0,2931.24,70349.76,28.0,19697.93,INR,Unpaid,,Sen Brothers,SEN BROTHERS,NAME:SEN BROTHERS,False,False,False,True,90047.69,90047.69,False,False,True,False,False,19697.9328,0.002799999998387648,False,1,False
45,INV-2024-0089,2024-07-31,Nova Paints & Coatings,,Consumables,Gujarat,Welding consumables,9.0,2270.27,15892.0,28.0,4449.72,INR,Paid,2024-08-28,Nova Paints & Coatings,NOVA PAINTS COATINGS,NAME:NOVA PAINTS COATINGS,False,False,False,True,20341.72,20341.72,False,False,True,False,False,4449.76,0.03999999999996362,False,1,False
46,INV-2024-0090,2024-04-05,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Freight - Durgapur to Asansol,27.0,3618.9,61521.0,18.0,11073.83,INR,Paid,2024-04-23,Konark Fab,KONARK FAB,21AACCK5678L1Z2,False,False,False,True,72594.83,72594.83,False,False,False,False,False,11073.78,0.049999999999272404,False,4,True
47,INV-2024-0072,2025-03-10,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,6.0,84268.63,337075.0,12.0,40449.0,INR,Paid,2025-05-10,APEX SAFETY EQUIPMENT,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,377524.0,377524.0,False,False,False,False,False,40449.0,0.0,False,3,True
48,INV-2024-0084,2024-10-25,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Freight - Durgapur to Asansol,22.0,2345.17,56284.0,28.0,15760.0,INR,Unpaid,,Nova Paints & Coatings,NOVA PAINTS COATINGS,24AAHCN6789R1Z6,False,False,False,True,72044.0,72044.0,False,False,False,False,False,15759.52,0.47999999999956344,False,3,True
49,INV-2024-0033,2025-01-24,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Structural design review,34.0,2278.78,70642.03,18.0,12716.0,INR,Paid,2025-02-05,Precision Tools India,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,83358.03,83358.03,False,False,False,False,False,12715.5654,0.4346000000005006,False,3,True
50,INV-2024-0013,2024-07-18,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Shot blasting service,28.0,1724.14,43104.0,18.0,7759.0,INR,Paid,2024-08-12,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,50863.0,50863.0,False,False,False,False,False,7758.72,0.27999999999974534,False,3,True
51,INV-2024-0019,2024-12-04,Meridian Consultants LLP,29AALCM8901V1Z0,Services,Karnataka,Epoxy primer 200L,10.0,25186.61,50373.22,12.0,6045.0,INR,Paid,2025-01-04,Meridian Consultants LLP,MERIDIAN CONSULTANTS LLP,29AALCM8901V1Z0,False,False,False,True,56418.22,56418.22,False,False,False,False,False,6044.7864,0.2136000000000422,False,2,True
52,INV-2024-0004,2025-02-26,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Epoxy primer 200L,21.0,34933.56,209601.34,28.0,58688.0,INR,Paid,2025-03-23,Eastern Logistics Co,EASTERN LOGISTICS CO,19AAECE3456N1Z1,False,False,False,True,268289.33999999997,268289.33999999997,False,False,False,False,False,58688.375199999995,0.3751999999949476,False,3,True
53,INV-2024-0080,2025-03-09,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Site safety harness x20,25.0,14076.86,84461.18,12.0,10135.0,INR,Paid,2025-04-03,GUPTA HARDWARE STORES,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,False,False,False,True,94596.18,94596.18,False,False,False,False,False,10135.3416,0.3415999999997439,False,3,True
54,INV-2024-0002,2024-08-13,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Girder fabrication - lot 3,40.0,20851.44,312771.66,18.0,56298.9,INR,Paid,2024-08-25,Nova Paints & Coatings,NOVA PAINTS COATINGS,24AAHCN6789R1Z6,False,False,False,True,369070.56,369070.56,False,False,False,False,False,56298.898799999995,0.0012000000060652383,False,3,True
55,INV-2024-0096,2024-07-08, Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Girder fabrication - lot 3,24.0,6235.15,31176.0,12.0,3741.09,INR,Paid,2024-09-07, Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,34917.09,34917.09,False,False,False,False,False,3741.12,0.02999999999974534,False,5,True
56,INV-2024-0041,2024-08-10,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Site safety harness x20,31.0,2435.7,12178.51,18.0,2192.13,INR,Paid,2024-10-10,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,True,True,True,14370.64,14370.64,False,False,False,False,False,2192.1318,0.0018000000000029104,False,3,True
57,INV-2024-0069,2024-04-13,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Girder fabrication - lot 3,38.0,4687.12,37497.0,18.0,6749.45,INR,Paid,2024-04-25,APEX SAFETY EQUIPMENT,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,44246.45,44246.45,False,False,False,False,False,6749.46,0.010000000000218279,False,3,True
58,INV-2024-0903,2024-04-03,Sen Brothers Welding,19AAJCS0123T1Z3,Fabrication,West Bengal,Onsite welding crew - 6 days,6.0,18500.0,111000.0,18.0,19980.0,INR,Paid,2024-06-05,Sen Brothers Welding,SEN BROTHERS WELDING,19AAJCS0123T1Z3,False,False,False,True,130980.0,130980.0,False,False,False,False,False,19980.0,0.0,False,2,True
59,INV-2024-0006,2024-11-20,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,1.0,31081.09,341892.04,28.0,95729.77,INR,Unpaid,,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,437621.81,437621.81,False,False,False,False,False,95729.77119999999,0.0011999999842373654,False,3,True
60,INV-2024-0051,2024-12-13,KONARK FABRICATION,21AACCK5678L1Z2,Fabrication,Odisha,Cutting tools replenishment,17.0,5249.33,199474.47,28.0,55853.0,INR,Paid,2025-01-07,KONARK FABRICATION,KONARK FABRICATION,21AACCK5678L1Z2,False,False,False,True,255327.47,255327.47,False,False,False,False,False,55852.8516,0.14839999999821885,False,4,True
61,INV-2024-0036,2024-12-08,Bharat Steel Works Pvt Ltd,19AABCB1234K1Z5,Raw Material,West Bengal,Structural design review,24.0,257.41,10039.0,18.0,1807.0,INR,Paid,2025-01-29,Bharat Steel Works Pvt Ltd,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,11846.0,11846.0,False,False,False,False,False,1807.02,0.01999999999998181,False,5,True
62,INV-2024-0068,2024-10-09,Gupta Hardware Stores,10AAFCG7890P1Z4,Consumables,Bihar,Angle sections supply,13.0,9717.51,165198.0,28.0,46255.36,INR,Unpaid,,Gupta Hardware Stores,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,False,False,False,True,211453.36,211453.36,False,False,False,False,False,46255.44,0.08000000000174623,False,3,True
63,INV-2024-0040,2024-11-09,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Angle sections supply,20.0,15616.34,530956.0,5.0,26548.0,INR,Paid,2024-12-04,Nova Paints & Coatings,NOVA PAINTS COATINGS,24AAHCN6789R1Z6,False,False,False,True,557504.0,557504.0,False,False,False,False,False,26547.8,0.2000000000007276,False,3,True
64,INV-2024-0086,2024-05-18,BHARAT STEEL WORKS,19AABCB1234K1Z5,Raw Material,West Bengal,Welding consumables,6.0,2357.0,94279.8,12.0,11313.58,INR,Unpaid,,BHARAT STEEL WORKS,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,105593.38,105593.38,False,False,False,False,False,11313.576000000001,0.003999999998995918,False,5,True
65,INV-2024-0014,2024-07-06,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Structural design review,28.0,3310.18,33101.79,5.0,1655.09,INR,Paid,2024-08-03,APEX SAFETY EQUIPMENT,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,34756.88,34756.88,False,False,False,False,False,1655.0895,0.0004999999998744897,False,3,True
66,INV-2024-0041,2024-08-10,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Girder fabrication - lot 3 (revised),31.0,2435.7,312000.0,18.0,56160.0,INR,Paid,2024-10-10,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,True,False,True,368160.0,368160.0,False,False,False,False,False,56160.0,0.0,False,3,True
67,INV-2024-0065,2025-01-19,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,23.0,27068.51,514302.0,5.0,25715.0,INR,Unpaid,,APEX SAFETY EQUIPMENT,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,540017.0,540017.0,False,False,False,False,False,25715.1,0.09999999999854481,False,3,True
68,INV-2024-0039,2024-06-30,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Structural design review,11.0,4828.51,149683.94,18.0,26943.0,INR,Unpaid,,GUPTA HARDWARE STORES,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,False,False,False,True,176626.94,176626.94,False,False,False,False,False,26943.1092,0.1091999999989639,False,3,True
69,INV-2024-0098,2024-11-16,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Structural design review,34.0,15452.38,401762.0,18.0,72317.13,INR,Paid,2024-12-14,GUPTA HARDWARE STORES,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,False,False,False,True,474079.13,474079.13,False,False,False,False,False,72317.16,0.029999999998835847,False,3,True
70,INV-2024-0066,2024-08-25,Precision Tools (India) Pvt Ltd,27AAGCP2345Q1Z9,Tooling,Maharashtra,Structural design review,19.0,25828.38,77485.15,5.0,3874.26,INR,Paid,2024-09-19,Precision Tools (India) Pvt Ltd,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,81359.40999999999,81359.40999999999,False,False,False,False,False,3874.2575,0.0025000000000545697,False,3,True
71,INV-2024-0067,2024-04-15,BHARAT STEEL WORKS,19AABCB1234K1Z5,Raw Material,West Bengal,Cutting tools replenishment,18.0,559.12,11742.0,18.0,2113.0,INR,Paid,2024-05-03,BHARAT STEEL WORKS,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,13855.0,13855.0,False,False,False,False,False,2113.56,0.5599999999999454,False,5,True
