invoice_no,invoice_date,vendor_name,vendor_gstin,category,state,description,quantity,unit_rate,taxable_amount,gst_rate,gst_amount,currency,payment_status,payment_date
INV-2024-0104,26-Jul-2024,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,MS plate 12mm supply,28,1255.73,42694.74 ,5%,2134.74,INR,Paid,23/08/2024
INV-2024-0085,20-Sep-2024,Konark Fabrication,21AACCK5678L1Z2,Fabrication,Odisha,Cutting tools replenishment,16,24040.51,Rs. 312527,12%,"37,503",INR,Paid,25-Oct-2024
INV-2024-0901,2024-09-19,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Imported carbide inserts,6,1450.0,8700.00,18%,1566.00,USD,Paid,24-Oct-2024
INV-2024-0100,05/09/2024,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Epoxy primer 200L,21,86902.8,"347,611",12%,41713.34,INR,Paid,03-Oct-2024
INV-2024-0015,28.08.2024,EASTERN LOGISTICS,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,25,4410.79,110269.78,18%,"19,849",INR,Paid,02.10.2024
INV-2024-0114,15/11/2024,EASTERN LOGISTICS,19AAECE3456N1Z1,Transport,West Bengal,MS plate 12mm supply,36,52883.54,740369.58,18%,"133,267",INR,Paid,16-Dec-2024
INV-2024-0117,13.12.2024,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Girder fabrication - lot 3,31,598.15,Rs. 13757,18%,"2,476",INR,Paid,2025-01-13
INV-2024-0050,13-Feb-2025,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Welding consumables,21,8166.74,"228,669",12%,"27,440",INR,Paid,2025-03-29
INV-2024-0059,2025-03-11,BHARAT STEEL WORKS,19AABCB1234K1Z5,Raw Material,West Bengal,Freight - Durgapur to Asansol,37,42376.34,635645.10 ,28%,177980.63,INR,Paid,2025-05-02
INV-2024-0038,07/03/2025,Bharat Steel Works Pvt Ltd,19AABCB1234K1Z5,Raw Material,West Bengal,Shot blasting service,4,2759.19,46906.30,28%,13133.76,INR,Paid,28/04/2025
INV-2024-0024,21.11.2024,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Structural design review,29,634.79,13330.65 ,18%,"2,400",INR,Paid,12.01.2025
INV-2024-0016,12-Jan-2025,Bharat Steel  Works,19AABCB1234K1Z5,Raw Material,West Bengal,Angle sections supply,23,1576.07,"33,098",5%,"1,655",INR,Paid,2025-01-24
INV-2024-0010,05.03.2025,SEN BROTHERS WELDING,19AAJCS0123T1Z3,Fabrication,West Bengal,Epoxy primer 200L,10,2746.91,85154.32 ,18%,"15,328",INR,Paid,2025-04-09
INV-2024-0052,27.02.2025,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Welding consumables,37,2931.77,Rs. 43977,12%,5277.19,INR,Paid,2025-03-30
INV-2024-0108,17.07.2024,Gupta Hardware Stores,10AAFCG7890P1Z4,Consumables,Bihar,Welding consumables,32,21389.1,385003.78,28%,107801.06,INR,Paid,14/08/2024
INV-2024-0105,09/01/2025, Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Welding consumables,4,8697.72,"78,279",28%,21918.25,INR,Paid,27/01/2025
INV-2024-0005,2024-06-18,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Shot blasting service,20,3168.19,107718.31 ,18%,19389.30,INR,Unpaid,
INV-2024-0057,03-Aug-2024,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Shot blasting service,22,31061.34,496981.37,18%,89456.65,INR,Paid,28/08/2024
INV-2024-0077,02-Aug-2024,Gupta Hardware Stores,10AAFCG7890P1Z4,Consumables,Bihar,Site safety harness x20,32,1632.99,"58,788",18%,"10,582",INR,Paid,20.08.2024
INV-2024-0110,23.03.2025,Konark Fabrication Pvt. Ltd.,21AACCK5678L1Z2,Fabrication,Odisha,Shot blasting service,3,91272.93,"1,004,002",12%,"120,480",INR,Paid,2025-05-23
INV-2024-0025,27.06.2024,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Welding consumables,17,176046.14,880230.71 ,18%,158441.53,INR,Paid,01-Aug-2024
INV-2024-0097,28/02/2025,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,30,896.11,12545.50 ,18%,2258.19,INR,Paid,09.04.2025
INV-2024-0076,06-Feb-2025,Nova Paints and Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,MS plate 12mm supply,39,1286.77,Rs. 42463,12%,5095.61,INR,Paid,13.03.2025
INV-2024-0022,04/04/2024,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Welding consumables,18,2705.67,Rs. 59525,5%,2976.24,INR,Paid,09.05.2024
INV-2024-0034,08/07/2024,Sen Brothers,,Fabrication,West Bengal,Cutting tools replenishment,28,2931.24,70349.76,28%,19697.93,INR,Unpaid,
INV-2024-0089,31-Jul-2024,Nova Paints & Coatings,,Consumables,Gujarat,Welding consumables,9,2270.27,"15,892",28%,4449.72,INR,Paid,2024-08-28
INV-2024-0090,05.04.2024,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Freight - Durgapur to Asansol,27,3618.9,"61,521",18%,11073.83,INR,Paid,2024-04-23
INV-2024-0072,10/03/2025,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,6,84268.63,"337,075",12%,"40,449",INR,Paid,2025-05-10
INV-2024-0084,25-Oct-2024,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Freight - Durgapur to Asansol,22,2345.17,"56,284",28%,"15,760",INR,Unpaid,
INV-2024-0033,24-Jan-2025,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Structural design review,34,2278.78,70642.03,18%,"12,716",INR,Paid,2025-02-05
INV-2024-0013,18.07.2024,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Shot blasting service,28,1724.14,Rs. 43104,18%,"7,759",INR,Paid,2024-08-12
INV-2024-0019,04/12/2024,Meridian Consultants LLP,29AALCM8901V1Z0,Services,Karnataka,Epoxy primer 200L,10,25186.61,50373.22,12%,"6,045",INR,Paid,04/01/2025
INV-2024-0004,26.02.2025,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Epoxy primer 200L,21,34933.56,209601.34,28%,"58,688",INR,Paid,23.03.2025
INV-2024-0080,2025-03-09,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Site safety harness x20,25,14076.86,84461.18,12%,"10,135",INR,Paid,03.04.2025
INV-2024-0002,13/08/2024,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Girder fabrication - lot 3,40,20851.44,312771.66,18%,56298.90,INR,Paid,25-Aug-2024
INV-2024-0096,08/07/2024, Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Girder fabrication - lot 3,24,6235.15,"31,176",12%,3741.09,INR,Paid,07/09/2024
INV-2024-0041,10.08.2024,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Site safety harness x20,31,2435.7,12178.51,18%,2192.13,INR,Paid,10-Oct-2024
INV-2024-0069,13.04.2024,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Girder fabrication - lot 3,38,4687.12,Rs. 37497,18%,6749.45,INR,Paid,25-Apr-2024
INV-2024-0903,03/04/2024,Sen Brothers Welding,19AAJCS0123T1Z3,Fabrication,West Bengal,Onsite welding crew - 6 days,6,18500.0,"1,11,000",18%,19980,INR,Paid,05/06/2024
INV-2024-0006,2024-11-20,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,1,31081.09,341892.04,28%,95729.77,INR,Unpaid,
INV-2024-0051,13-Dec-2024,KONARK FABRICATION,21AACCK5678L1Z2,Fabrication,Odisha,Cutting tools replenishment,17,5249.33,199474.47,28%,"55,853",INR,Paid,07.01.2025
INV-2024-0036,08/12/2024,Bharat Steel Works Pvt Ltd,19AABCB1234K1Z5,Raw Material,West Bengal,Structural design review,24,257.41,10039.00,18%,"1,807",INR,Paid,29.01.2025
INV-2024-0068,2024-10-09,Gupta Hardware Stores,10AAFCG7890P1Z4,Consumables,Bihar,Angle sections supply,13,9717.51,Rs. 165198,28%,46255.36,INR,Unpaid,
INV-2024-0040,09/11/2024,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Angle sections supply,20,15616.34,Rs. 530956,5%,"26,548",INR,Paid,04-Dec-2024
INV-2024-0086,18-May-2024,BHARAT STEEL WORKS,19AABCB1234K1Z5,Raw Material,West Bengal,Welding consumables,6,2357.0,94279.80 ,12%,11313.58,INR,Unpaid,
INV-2024-0014,06-Jul-2024,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Structural design review,28,3310.18,33101.79,5%,1655.09,INR,Paid,03-Aug-2024
INV-2024-0041,10.08.2024,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Girder fabrication - lot 3 (revised),31,2435.7,312000.00,18%,56160.00,INR,Paid,10-Oct-2024
INV-2024-0065,19.01.2025,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,23,27068.51,Rs. 514302,5%,"25,715",INR,Unpaid,
INV-2024-0039,30.06.2024,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Structural design review,11,4828.51,149683.94 ,18%,"26,943",INR,Unpaid,
INV-2024-0098,16/11/2024,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Structural design review,34,15452.38,Rs. 401762,18%,72317.13,INR,Paid,14.12.2024
INV-2024-0066,25-Aug-2024,Precision Tools (India) Pvt Ltd,27AAGCP2345Q1Z9,Tooling,Maharashtra,Structural design review,19,25828.38,77485.15 ,5%,3874.26,INR,Paid,2024-09-19
INV-2024-0067,2024-04-15,BHARAT STEEL WORKS,19AABCB1234K1Z5,Raw Material,West Bengal,Cutting tools replenishment,18,559.12,Rs. 11742,18%,"2,113",INR,Paid,2024-05-03
INV-2024-0101,07.01.2025,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,16,28829.28,490097.78,5%,24504.89,INR,Paid,2025-02-11
INV-2024-0056,05-Mar-2025,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,3,16774.67,385817.30,28%,"108,029",INR,Paid,05/05/2025
INV-2024-0037,14-Sep-2024,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Shot blasting service,15,6703.36,167583.91 ,18%,30165.10,INR,Unpaid,
INV-2024-0060,12-Dec-2024,Sundaram Engg,,Fabrication,Tamil Nadu,Site safety harness x20,39,825.04,"9,900",18%,1782.08,INR,Paid,2025-01-21
INV-2024-0053,08-Dec-2024,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Site safety harness x20,21,589.08,"12,960",18%,2332.76,INR,Paid,26.12.2024
INV-2024-0029,03/11/2024,SEN BROTHERS WELDING,19AAJCS0123T1Z3,Fabrication,West Bengal,Structural design review,38,1159.2,41731.20 ,28%,"11,685",INR,Paid,2024-11-15
INV-2024-0054,29/07/2024,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Welding consumables,13,15546.38,621855.32,18%,111933.96,INR,Paid,11-Sep-2024
INV-2024-0012,2025-02-18,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Structural design review,25,3882.29,"31,058",5%,"1,553",INR,Paid,30/03/2025
INV-2024-0026,22-Sep-2024,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,MS plate 12mm supply,22,2275.79,"91,032",12%,10923.80,INR,Paid,10/10/2024
INV-2024-0904,2027-02-14,Gupta Hardware,10AAFCG7890P1Z4,Consumables,Bihar,Fasteners assorted,500,42.0,21000.00,18%,3780.00,INR,Unpaid,
INV-2024-0907,2024-10-03,Meridian Consultants LLP,29AALCM8901V1Z0,Services,Karnataka,Load calculation review - awaiting final bill,1,,,18%,,INR,Unpaid,
INV-2024-0035,08/12/2024,Gupta Hardware,10AAFCG7890P1Z4,Consumables,Bihar,Cutting tools replenishment,14,4875.44,97508.77,18%,17551.58,INR,Unpaid,
INV-2024-0082,30.06.2024,Sen Brothers Welding,19AAJCS0123T1Z3,Fabrication,West Bengal,Cutting tools replenishment,25,460.4,"13,352",18%,2403.30,INR,Paid,2024-07-18
INV-2024-0061,25-Jun-2024,Meridian Consultants LLP,29AALCM8901V1Z0,Services,Karnataka,Girder fabrication - lot 3,31,16043.69,Rs. 465267,18%,83748.05,INR,Paid,04/08/2024
INV-2024-0070,03-Oct-2024,NOVA PAINTS & COATINGS,24AAHCN6789R1Z6,Consumables,Gujarat,Girder fabrication - lot 3,17,6480.12,Rs. 123122,28%,34474.22,INR,Paid,2024-10-21
INV-2024-0064,2024-06-02,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,MS plate 12mm supply,23,13180.97,434972.14 ,18%,78294.98,INR,Paid,2024-06-14
INV-2024-0102,2024-12-12,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,2,34225.27,"102,676",28%,"28,749",INR,Paid,02-Feb-2025
INV-2024-0003,20.11.2024,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Angle sections supply,14,1139.81,35334.05 ,18%,"6,360",INR,Paid,25-Dec-2024
INV-2024-0906,2024-07-22,Nova Paints and Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,PU topcoat 400L,400,610.0,244000.00,18%,29280.00,INR,Paid,2024-08-30
INV-2024-0905,18/12/2024,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Trailer hire - 3 trips,3,27000.0,81000.00,5%,4050.00,INR,Paid,02/11/2024
INV-2024-0044,26.01.2025,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Girder fabrication - lot 3,3,17826.65,"338,706",18%,60967.14,INR,Paid,07-Feb-2025
INV-2024-0073,2024-12-20,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Girder fabrication - lot 3,30,151868.57,Rs. 607474,18%,109345.37,INR,Paid,14-Jan-2025
INV-2024-0094,30/04/2024,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Structural design review,18,1812.99,Rs. 38073,28%,10660.36,INR,Paid,2024-05-18
INV-2024-0062,04/05/2024,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Girder fabrication - lot 3,8,289.05,9538.81 ,5%,477,INR,Paid,2024-07-04
INV-2024-0079,2024-08-08,KONARK FABRICATION,21AACCK5678L1Z2,Fabrication,Odisha,Welding consumables,17,6881.46,Rs. 48170,28%,"13,488",INR,Unpaid,
INV-2024-0095,17-Sep-2024,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Structural design review,22,9119.94,136799.12,18%,24623.84,INR,Paid,22/10/2024
INV-2024-0093,2024-04-28,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Site safety harness x20,5,13076.14,104609.16 ,12%,"12,553",INR,Paid,2024-06-11
INV-2024-0112,24.05.2024,Konark Fabrication Pvt. Ltd.,21AACCK5678L1Z2,Fabrication,Odisha,Girder fabrication - lot 3,36,14773.14,457967.35 ,18%,"82,434",INR,Paid,07/07/2024
INV-2024-0088,18.05.2024,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,6,25913.0,Rs. 725564,18%,"130,602",INR,Paid,2024-06-18
INV-2024-0018,08.06.2024,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Site safety harness x20,36,9460.07,255421.95 ,12%,"30,651",INR,Paid,2024-06-20
INV-2024-0083,05.07.2024,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Girder fabrication - lot 3,13,56498.57,338991.40,12%,"40,679",INR,Paid,02-Aug-2024
CN-2024-0007,12/11/2024,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Credit note - short supply MS plate,1,-84000.0,-84000.00,18%,-15120.00,INR,Adjusted,
INV-2024-0045,2024-07-14,Gupta Hardware,10AAFCG7890P1Z4,Consumables,Bihar,Site safety harness x20,13,49158.74,Rs. 147476,18%,"26,546",INR,Paid,13-Sep-2024
INV-2024-0099,20.04.2024,Konark Fabrication,21AACCK5678L1Z2,Fabrication,Odisha,Angle sections supply,32,29176.17,"875,285",28%,"245,080",INR,Paid,02/05/2024
INV-2024-0027,27/04/2024,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,30,6429.37,160734.19,18%,28932.15,INR,Paid,2024-06-10
INV-2024-0042,2024-04-04,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Angle sections supply,15,7872.78,165328.34,5%,8266.42,INR,Paid,26-May-2024
INV-2024-0107,15.09.2024,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,32,7844.62,"15,689",18%,"2,824",INR,Paid,29-Oct-2024
INV-2024-0116,11/08/2024,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Freight - Durgapur to Asansol,40,32797.02,721534.48 ,18%,"129,876",INR,Paid,24/09/2024
INV-2024-0103,08.02.2025,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Freight - Durgapur to Asansol,31,2669.23,"90,754",18%,16335.69,INR,Paid,01.04.2025
INV-2024-0078,2024-09-05,Precision Tools (India) Pvt Ltd,27AAGCP2345Q1Z9,Tooling,Maharashtra,Welding consumables,10,5986.83,Rs. 59868,5%,2993.42,INR,Paid,27-Oct-2024
INV-2024-0048,2025-02-23,Nova Paints and Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Angle sections supply,39,8617.46,43087.31,18%,"7,756",INR,Paid,2025-03-13
INV-2024-0011,03-Dec-2024, Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Cutting tools replenishment,20,3105.69,Rs. 12423,5%,621.14,INR,Paid,02-Feb-2025
INV-2024-0109,18.09.2024,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,35,19443.7,116662.21 ,12%,"13,999",INR,Paid,18-Nov-2024
INV-2024-0001,06-Jul-2024,EASTERN LOGISTICS,19AAECE3456N1Z1,Transport,West Bengal,Shot blasting service,27,105795.2,Rs. 634771,18%,"114,259",INR,Paid,27/08/2024
INV-2024-0087,10-May-2024,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Cutting tools replenishment,9,176271.37,1057628.22 ,28%,"296,136",INR,Unpaid,
INV-2024-0113,06.01.2025,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Structural design review,19,299.7,Rs. 9291,12%,"1,115",INR,Paid,27.02.2025
INV-2024-0047,01/07/2024,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Welding consumables,34,30420.19,"517,143",12%,"62,057",INR,Paid,31.08.2024
INV-2024-0030,02-Mar-2025,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Epoxy primer 200L,7,7011.89,"238,404",18%,42912.77,INR,Paid,27.03.2025
INV-2024-0023,28-Dec-2024,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Welding consumables,16,581.6,"11,632",12%,1395.83,INR,Paid,18-Feb-2025
INV-2024-0071,16.09.2024,Sundaram Engg,33AADCS9012M1Z8,Fabrication,Tamil Nadu,MS plate 12mm supply,35,1315.45,Rs. 49987,5%,2499.35,INR,Unpaid,
INV-2024-0115,22.08.2024,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Shot blasting service,30,38833.33,"660,167",18%,118829.99,INR,Unpaid,
INV-2024-0043,2024-08-19,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Shot blasting service,40,1199.24,Rs. 44372,18%,"7,987",INR,Unpaid,
INV-2024-0106,25/05/2024,NOVA PAINTS & COATINGS,24AAHCN6789R1Z6,Consumables,Gujarat,Cutting tools replenishment,33,7551.05,98163.59 ,28%,27485.80,INR,Paid,2024-07-08
INV-2024-0075,30.05.2024,Meridian Consultants,29AALCM8901V1Z0,Services,Karnataka,Welding consumables,28,7006.4,273249.59 ,18%,49184.93,INR,Paid,13.07.2024
INV-2024-0021,2024-11-27,SUNDARAM ENGINEERING LTD,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Site safety harness x20,11,1576.77,36265.79 ,5%,"1,813",INR,Paid,22/12/2024
INV-2024-0031,09-Jun-2024,EASTERN LOGISTICS,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,1,11143.03,267432.72,18%,"48,138",INR,Paid,19/07/2024
INV-2024-0063,17.02.2025,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Structural design review,1,24876.7,696547.57 ,18%,125378.56,INR,Paid,24-Mar-2025
